N,N_b,tube_passes,m_dot_1 (kg/s),m_dot_2 (kg/s),T1_out (??C),T2_out (??C),??,Q_t
6,0,3,0.611,0.354,25.37,50.734,0.268,13573370.24
6,1,3,0.61,0.354,25.374,50.737,0.268,13568945.29
6,2,3,0.609,0.354,25.382,50.742,0.267,13561577.3
6,3,3,0.607,0.354,25.392,50.749,0.267,13551277.24
6,4,3,0.605,0.354,25.405,50.758,0.267,13538061.57
6,5,3,0.603,0.354,25.421,50.769,0.267,13521953.24
6,6,3,0.6,0.354,25.44,50.782,0.267,13502982.73
6,7,3,0.597,0.354,25.462,50.797,0.266,13481189.19
6,8,3,0.593,0.354,25.487,50.814,0.266,13456621.36
6,9,3,0.589,0.354,25.514,50.833,0.266,13429338.26
6,10,3,0.584,0.354,25.545,50.853,0.265,13399022.91
6,11,3,0.579,0.354,25.577,50.875,0.265,13366677.21
6,12,3,0.574,0.354,25.613,50.899,0.265,13331823.59
6,13,3,0.569,0.354,25.651,50.925,0.264,13294562.56
6,14,3,0.563,0.354,25.691,50.952,0.264,13255005.67
10,0,2,0.611,0.4,25.125,52.179,0.224,12949577.28
10,1,2,0.61,0.4,25.132,52.183,0.224,12943361.85
10,2,2,0.608,0.4,25.144,52.189,0.224,12933017.51
10,3,2,0.605,0.4,25.161,52.198,0.224,12918568.57
10,4,2,0.602,0.4,25.183,52.209,0.224,12900053.11
10,5,2,0.597,0.4,25.21,52.223,0.224,12877526.34
10,6,2,0.593,0.4,25.241,52.239,0.223,12851063.78
10,7,2,0.587,0.4,25.277,52.257,0.223,12820763.9
10,8,2,0.581,0.4,25.318,52.278,0.223,12786749.43
10,9,2,0.575,0.4,25.363,52.3,0.222,12749167.29
10,10,2,0.568,0.4,25.412,52.325,0.222,12708186.8
10,11,2,0.56,0.4,25.465,52.352,0.221,12663996.51
10,12,2,0.552,0.4,25.523,52.38,0.221,12616800.02
10,13,2,0.544,0.4,25.584,52.41,0.221,12566811.57
10,14,2,0.535,0.4,25.649,52.442,0.22,12514251.99
9,0,2,0.611,0.396,24.869,52.491,0.214,12305505.18
9,1,2,0.61,0.396,24.876,52.495,0.214,12300030.11
9,2,2,0.608,0.396,24.886,52.5,0.214,12290917.11
9,3,2,0.606,0.396,24.9,52.508,0.213,12278185.89
9,4,2,0.602,0.396,24.919,52.518,0.213,12261867.04
9,5,2,0.599,0.396,24.941,52.53,0.213,12242004.43
9,6,2,0.594,0.396,24.968,52.544,0.213,12218657.67
9,7,2,0.589,0.396,24.998,52.561,0.213,12191904.25
9,8,2,0.584,0.396,25.033,52.579,0.212,12161840.83
9,9,2,0.578,0.396,25.071,52.599,0.212,12128583.61
5,0,3,0.611,0.333,24.786,51.222,0.249,12096756.85
5,1,3,0.61,0.333,24.789,51.225,0.249,12093374.77
9,10,2,0.572,0.396,25.113,52.622,0.211,12092267.44
5,2,3,0.609,0.333,24.794,51.229,0.249,12087742.59
5,3,3,0.608,0.333,24.802,51.235,0.249,12079867.53
5,4,3,0.606,0.333,24.811,51.242,0.249,12069760.31
5,5,3,0.604,0.333,24.823,51.251,0.249,12057435.66
9,11,2,0.565,0.396,25.159,52.645,0.211,12053043.91
5,6,3,0.602,0.333,24.837,51.261,0.249,12042912.96
5,7,3,0.599,0.333,24.853,51.274,0.248,12026216.83
9,12,2,0.557,0.396,25.208,52.671,0.211,12011078.42
5,8,3,0.596,0.333,24.871,51.287,0.248,12007377.8
5,9,3,0.592,0.333,24.891,51.302,0.248,11986432.71
9,13,2,0.55,0.396,25.26,52.698,0.21,11966546.93
5,10,3,0.588,0.333,24.914,51.319,0.247,11963425.18
5,11,3,0.584,0.333,24.938,51.338,0.247,11937987.65
9,14,2,0.542,0.396,25.315,52.727,0.21,11919632.57
5,12,3,0.58,0.333,24.964,51.357,0.247,11911140.1
5,13,3,0.575,0.333,24.992,51.378,0.246,11882376.43
5,14,3,0.57,0.333,25.022,51.4,0.246,11851766.63
8,0,2,0.611,0.39,24.585,52.829,0.202,11587251.12
8,1,2,0.61,0.39,24.59,52.832,0.202,11582518.66
8,2,2,0.608,0.39,24.598,52.837,0.202,11574640.9
8,3,2,0.606,0.39,24.61,52.844,0.202,11563633.4
8,4,2,0.603,0.39,24.626,52.853,0.202,11549520.02
8,5,2,0.6,0.39,24.644,52.863,0.202,11532334.62
8,6,2,0.596,0.39,24.666,52.876,0.202,11512122.84
8,7,2,0.592,0.39,24.692,52.89,0.201,11488943.75
8,8,2,0.587,0.39,24.72,52.906,0.201,11462871.02
8,9,2,0.582,0.39,24.752,52.924,0.201,11433993.45
8,10,2,0.576,0.39,24.787,52.944,0.2,11402414.74
8,11,2,0.569,0.39,24.825,52.965,0.2,11368252.47
8,12,2,0.563,0.39,24.866,52.987,0.2,11331636.32
8,13,2,0.556,0.39,24.909,53.011,0.199,11292705.79
8,14,2,0.549,0.39,24.956,53.037,0.199,11251607.75
7,0,2,0.611,0.383,24.265,53.195,0.19,10778329.85
7,1,2,0.61,0.383,24.269,53.198,0.19,10774340.97
7,2,2,0.609,0.383,24.275,53.202,0.19,10767700.25
7,3,2,0.607,0.383,24.285,53.208,0.19,10758419.55
7,4,2,0.604,0.383,24.297,53.215,0.19,10746516.77
7,5,2,0.601,0.383,24.312,53.224,0.19,10732017.05
7,6,2,0.598,0.383,24.33,53.235,0.19,10714953.97
7,7,2,0.594,0.383,24.35,53.247,0.189,10695370.77
7,8,2,0.59,0.383,24.373,53.261,0.189,10673321.22
7,9,2,0.585,0.383,24.399,53.277,0.189,10648870.29
7,10,2,0.58,0.383,24.427,53.294,0.189,10622094.18
